DPT,ID,0,1,2,3,4,5,6,7,8,9
PvfUICT,97931,68,64,49,21,58,16,51,17,59,91
PvfUICT,79714,66,30,87,64,35,50,75,89,,34
PvfUICT,82272,75,66,99,4,36,76,88,47,32,74
NYUHdqkF,87911,60,73,34,48,,68,28,,7,61
NYUHdqkF,93943,84,47,53,32,3,34,41,25,29,26
JWOUCrivoqy,59871,53,85,21,74,27,58,7,95,61,99
JWOUCrivoqy,32512,51,34,46,52,18,23,3,70,24,
bOqSP,22007,6,44,87,36,85,14,83,85,40,83
bOqSP,58426,85,27,42,,70,16,16,,63,28
qvcrfFSbpYNnWzyAXt,98966,59,31,81,33,5,13,8,64,51,54
qvcrfFSbpYNnWzyAXt,64890,,4,,70,43,87,,84,85,24
CqGVwyBOAscXFbLRd,29719,,23,36,91,18,25,86,23,,88
CqGVwyBOAscXFbLRd,94650,97,72,73,59,47,,28,85,24,86
kRbJBaXKthZHcynzDGjO,37981,24,,,42,,92,99,81,52,50
kRbJBaXKthZHcynzDGjO,6700,,60,95,33,91,30,20,53,5,16
QSCkifudLrxlMeJhtF,17844,99,,26,44,23,33,43,34,23,79
QSCkifudLrxlMeJhtF,78745,73,,97,,51,22,73,12,77,40
QSCkifudLrxlMeJhtF,40184,60,94,28,85,45,56,6,95,30,
wcYV,89373,26,23,1,9,43,25,41,97,,43
wcYV,75498,19,80,33,25,,40,28,99,98,31
wcYV,64434,31,96,27,50,16,60,50,6,39,68
BZEloQMrqFOAguTs,70945,9,36,61,70,80,,22,96,,28
BZEloQMrqFOAguTs,36276,22,19,75,6,87,56,97,14,,1
jTxKH,5716,95,58,88,32,50,66,39,54,92,58
HzoFapuxgYfiVZehBc,88452,14,27,13,57,,8,90,,81,
HzoFapuxgYfiVZehBc,36094,49,86,,,97,53,25,,57,77
HzoFapuxgYfiVZehBc,8374,62,,9,24,2,48,61,77,37,5
HzoFapuxgYfiVZehBc,64744,0,81,,76,75,90,21,66,95,32
VLxynlboehWdYaDXjStQ,74122,43,,47,7,27,73,8,81,40,5
VLxynlboehWdYaDXjStQ,62797,36,81,97,,,40,26,48,65,33
VLxynlboehWdYaDXjStQ,12910,,90,,56,3,40,13,23,42,98
GFiyMZr,9057,47,23,1,91,53,48,84,6,74,35
GFiyMZr,5579,53,39,8,9,74,72,41,34,61,74
jKSHz,24292,24,40,68,71,10,93,,18,10,24
jKSHz,79239,71,78,40,74,73,48,78,13,71,5
THlOSgaL,61164,70,77,9,53,26,23,6,65,16,22
THlOSgaL,95844,33,48,32,36,81,,,,38,
